Aerolinea,Origen,Destino,Número de vuelos,Precio medio,Duración media del vuelo,Número promedio de escalas,Promedio días de antelación,Porcentaje de vuelos business,Número de vuelos_log,Precio medio_log,Duración media del vuelo_log,Promedio días de antelación_log,Número de vuelos_log_log,Precio medio_log_log,Duración media del vuelo_log_log,Promedio días de antelación_log_log
GO FIRST,Bangalore,Kolkata,12,92.33583333333333,2.3215275,0.8333333333333334,1.5,0.0,2.5649493574615367,4.536204099856695,1.200424767480726,0.9162907318741551,1.2711498482847257,1.7113090853844501,0.7886504178550762,0.65039140701146
GO FIRST,Hyderabad,Delhi,5,82.1766,3.158334,0.6,1.2,0.0,1.791759469228055,4.420966058268965,1.425114513290101,0.7884573603642702,1.026672031199051,1.6902740391017959,0.8858787452498236,0.5813534384286917
GO FIRST,Kolkata,Delhi,19,103.73057894736843,4.208771578947369,0.8947368421052632,1.4736842105263157,0.0,2.995732273553991,4.6513911377690915,1.6503440465724133,0.9057086225436181,1.3852268599316875,1.7319017339255836,0.9746894604663394,0.6448539197489878
AirAsia,Mumbai,Hyderabad,228,37.51191666666685,10.818055614035089,1.1754385964912282,27.30263157894737,0.0,5.43372200355424,3.650967717210655,2.4696284987877775,3.342954788981399,1.8615532204780585,1.5370753091752252,1.2440475273592684,1.468554943409022
GO FIRST,Delhi,Mumbai,54,114.57701851851853,4.547839814814816,0.7222222222222222,1.5555555555555556,0.0,4.007333185232471,4.749937134731672,1.7134086294356945,0.9382696385929303,1.6109034750189168,1.7491889216593484,0.9982056413675795,0.6617956361914525
AirAsia,Delhi,Kolkata,785,46.23622547770709,9.475573261146481,1.2828025477707006,26.862420382165606,0.0,6.666956792429207,3.8551610871569566,2.3490461909118516,3.3272788411813226,2.036919769035797,1.580042280833836,1.2086755861659975,1.4649389013160423
AirAsia,Mumbai,Delhi,775,45.90827096774188,9.018774167741928,0.8864516129032258,27.501935483870966,0.0,6.654152520183219,3.8481940131605823,2.304460749624038,3.3499719966834793,2.0352483136645523,1.5786062671825576,1.195273298001583,1.470169407535844
AirAsia,Kolkata,Bangalore,936,52.80480982905952,9.231819850427403,0.9091880341880342,26.460470085470085,0.0,6.842683282238422,3.9853628651987445,2.3255024576347787,3.3127475191106353,2.0595810311938556,1.6065061921786261,1.2016207777692132,1.4615751764462055
GO FIRST,Kolkata,Chennai,2,122.595,1.46667,1.0,1.5,0.0,1.0986122886681096,4.817010091130909,0.9028690628924526,0.9162907318741551,0.7412763113750152,1.760786399692619,0.6433627803201297,0.65039140701146
AirAsia,Bangalore,Kolkata,876,50.37688470319605,7.440353881278495,0.841324200913242,26.03082191780822,0.0,6.776506992372183,3.9391883573638733,2.1330242367903,3.296977767440121,2.0511072646690747,1.5972010175723157,1.1419987479089482,1.4579119308069621
